key,en_US,zh_TW,ja_JP
PaddleOCR（PP-OCRv5）,PaddleOCR (PP-OCRv5),PaddleOCR（PP-OCRv5）,PaddleOCR（PP-OCRv5）
PaddleOCR（本地）,PaddleOCR (Local),PaddleOCR（本地）,PaddleOCR（ローカル）
启用MKL-DNN加速,Enable MKL-DNN acceleration,啟用MKL-DNN加速,MKL-DNN加速を有効にする
使用MKL-DNN数学库提高神经网络的计算速度。能大幅加快CPU推理速度，但也会增加内存占用。,"Use the MKL-DNN mathematical library to improve the computation speed of the neural network. This can significantly accelerate CPU inference speed, but it will also increase memory usage.",使用MKL-DNN數學庫提高神經網路的計算速度。 能大幅加快CPU推理速度，但也會新增記憶體佔用。,MKL-DNN数学ライブラリを用いてニューラルネットワークの計算速度を向上させた。CPU推論速度を大幅に速めることができますが、メモリの使用量も増加します。
线程数,Number of threads,線程數,スレッド数
CPU推理线程数。不要盲目拉满，建议8~16间测试最优值。,CPU inference threads. Don't max out blindly; test optimal values between 8~16.,CPU推理線程數。不要盲目拉滿，建議8~16間測試最優值。,CPU推論スレッド数。むやみに最大にせず、8〜16の間で最適値をテストしてください。
内存占用限制,Memory usage limit,記憶體佔用限制,メモリ使用量の制限
值>0时启用。引擎内存占用超过该值时，执行内存清理。,"Enable when the value is greater than 0. When the memory usage of the engine exceeds this value, memory cleanup will be performed.",值>0時啟用。 引擎記憶體佔用超過該值時，執行記憶體清理。,値>0の場合に有効になります。エンジンメモリがこの値を超えて占有されている場合は、メモリクリーンアップを実行します。
内存闲时清理,Memory cleanup during idle time,記憶體閑時清理,メモリアイドル時のクリーンアップ
秒,seconds,秒,秒
值>0时启用。引擎空闲时间超过该值时，执行内存清理。,"Enable when the value is greater than 0. When the idle time of the engine exceeds this value, memory cleanup will be performed.",值>0時啟用。 引擎空閒時間超過該值時，執行記憶體清理。,値>0の場合に有効になります。エンジンアイドル時間がこの値を超えると、メモリクリーンアップが実行されます。
文字识别（PaddleOCR）,Text recognition (PaddleOCR),文字識別（PaddleOCR）,文字認識（PaddleOCR）
语言/模型库,Language/Model library,語言/模型庫,言語/モデルライブラリ
启用文本检测,Enable text detection,啟用文本檢測,テキスト検出を有効にする
启用det目标检测。若图片中只含一行文本且无空白区域，可关闭det以加快速度。,Enable det object detection. If the image contains only one line of text with no blank areas, you can disable det to speed up recognition.,啟用det目標檢測。若圖片中只含一行文本且無空白區域，可關閉det以加快速度。,det目標検出を有効にする。画像に1行のテキストしかなく、空白領域がない場合、detを無効にして速度を向上させることができます。
纠正文本方向,Text direction correction,糾正文字方向,テキスト方向の修正
启用方向分类，识别倾斜或倒置的文本。可能降低识别速度。,Enable direction classification to recognize slanted or inverted text. This may reduce recognition speed.,啟用方向分類，識別傾斜或倒置的文字。 可能降低識別速度。,方向分類を有効にして、傾斜または反転したテキストを識別します。認識速度が低下する可能性があります。
识别批处理数,Recognition batch size,識別批處理數,認識バッチサイズ
识别模型批处理大小。增大可提高吞吐量，但会增加内存/显存占用。,Recognition model batch size. Increasing it can improve throughput but will increase memory/VRAM usage.,識別模型批處理大小。增大可提高吞吐量，但會增加記憶體/顯存佔用。,認識モデルのバッチサイズ。増やすことでスループットを向上できますが、メモリ/VRAM使用量が増加します。
限制图像边长,Limit image edge length,限制影像邊長,画像の辺の長さを制限する
（默认）,(Default),（默認）,(デフォルト)
无限制,Unlimited,無限制,制限なし
自定义,Custom,自定義,カスタム
自定义图像边长,Custom image edge length,自定義影像邊長,カスタム画像辺長
当"限制图像边长"选择"自定义"时生效。建议填写32或48的公倍数。,"Effective when 'Limit image edge length' is set to 'Custom'. It is recommended to use a common multiple of 32 or 48.",當「限制影像邊長」選擇「自定義」時生效。建議填寫32或48的公倍數。,「画像の辺の長さを制限」が「カスタム」の場合に有効です。32または48の公倍数を推奨します。
将边长大于该值的图片进行压缩，可以提高识别速度。可能降低识别精度。,Compress images with edge length greater than this value to improve recognition speed. This may reduce recognition accuracy.,將邊長大於該值的圖片進行壓縮，可以提高識別速度。 可能降低識別精度。,辺の長さがこの値より大きい画像を圧縮することで、認識速度を高めることができます。認識精度が低下する可能性があります。
推理设备模式,Inference Device Mode,推理設備模式,推論デバイスモード
仅CPU,CPU Only,僅CPU,CPUのみ
仅GPU,GPU Only,僅GPU,GPUのみ
CPU+GPU混合（推荐）,CPU+GPU Hybrid (Recommended),CPU+GPU混合（推薦）,CPU+GPUハイブリッド（推奨）
混合模式会优先尝试GPU，若启动失败则自动回退CPU，兼顾速度与稳定性。仅GPU模式需要GPU版构建的PaddleOCR-json.exe。,"Hybrid mode tries GPU first and automatically falls back to CPU if GPU initialization fails, balancing speed and stability. GPU-only mode requires a GPU-built PaddleOCR-json.exe.",混合模式會優先嘗試GPU，若啟動失敗則自動回退CPU，兼顧速度與穩定性。僅GPU模式需要GPU版構建的PaddleOCR-json.exe。,ハイブリッドモードはまずGPUを試し、初期化に失敗した場合は自動でCPUへフォールバックし、速度と安定性を両立します。GPUのみモードにはGPU版ビルドのPaddleOCR-json.exeが必要です。
GPU编号,GPU ID,GPU編號,GPU ID
启用TensorRT加速,Enable TensorRT acceleration,啟用TensorRT加速,TensorRT加速を有効にする
使用TensorRT加速GPU推理，可显著提升GPU推理速度。需要GPU版构建的PaddleOCR-json.exe及TensorRT环境。,"Use TensorRT to accelerate GPU inference, significantly improving GPU inference speed. Requires a GPU-built PaddleOCR-json.exe and TensorRT environment.",使用TensorRT加速GPU推理，可顯著提升GPU推理速度。需要GPU版構建的PaddleOCR-json.exe及TensorRT環境。,TensorRTを使用してGPU推論を加速し、GPU推論速度を大幅に向上させます。GPU版ビルドのPaddleOCR-json.exeとTensorRT環境が必要です。
推理精度,Inference Precision,推理精度,推論精度
FP32（默认）,FP32 (Default),FP32（默認）,FP32（デフォルト）
FP16（更快）,FP16 (Faster),FP16（更快）,FP16（高速）
FP16精度可加速GPU推理，但可能略微降低精度。仅GPU模式有效。,FP16 precision can accelerate GPU inference but may slightly reduce accuracy. Only effective in GPU mode.,FP16精度可加速GPU推理，但可能略微降低精度。僅GPU模式有效。,FP16精度はGPU推論を加速できますが、精度がわずかに低下する可能性があります。GPUモードのみ有効。
竖排文字模式,Vertical text mode,豎排文字模式,縦書きモード
启用后，识别结果将按竖排阅读顺序重排：从右到左逐列，每列从上到下。适用于竖排繁体中文等场景。,"When enabled, recognition results will be reordered in vertical reading order: right-to-left by column, top-to-bottom within each column. Suitable for vertical traditional Chinese, etc.","啟用後，識別結果將按豎排閱讀順序重排：從右到左逐列，每列從上到下。適用於豎排繁體中文等場景。",有効にすると、認識結果が縦書きの読み順に再配置されます：右から左へ列ごと、各列は上から下へ。縦書き繁体字中国語などに適しています。
